word,freq
nigga,400
bitch,266
fuck,253
yeah,219
shit,208
gon,190
love,103
tryna,103
hit,88
money,85
gang,81
round,74
bitches,65
call,56
bag,55
ima,54
ayy,53
die,53
big,52
time,50
bout,49
pull,46
better,46
baby,45
bands,45
hard,45
move,44
bad,43
man,43
